BusinessName,BusinessType,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityName,Longitude,Latitude,ImagePath
212  Lounge Romford Ltd,Restaurant/Cafe/Canteen,RM6 6LS,3,fhrs_3_en-GB,2024-07-17,Barking and Dagenham,0.1411341,51.572008,images\test\fhrs_3_en-GB.png
3 Luanet Restaurant & Shisha Lounge,Restaurant/Cafe/Canteen,RM6 6AP,4,fhrs_4_en-GB,2023-11-02,Barking and Dagenham,0.143009006977081,51.5721969604492,images\test\fhrs_4_en-GB.png
5G Burger,Restaurant/Cafe/Canteen,RM9 6RT,5,fhrs_5_en-GB,2023-04-19,Barking and Dagenham,0.1469348,51.5318386,images\test\fhrs_5_en-GB.png
7even Restaurant,Restaurant/Cafe/Canteen,RM6 6AP,4,fhrs_4_en-GB,2023-11-01,Barking and Dagenham,0.1423516,51.5721207,images\test\fhrs_4_en-GB.png
Aafio Kenkey Market,Restaurant/Cafe/Canteen,RM9 4QS,1,fhrs_1_en-GB,2024-11-22,Barking and Dagenham,0.110776998102665,51.534984588623,images\test\fhrs_1_en-GB.png
Abbey Kebab & Pizza,Takeaway/sandwich shop,RM8 2XT,5,fhrs_5_en-GB,2024-07-13,Barking and Dagenham,0.128666,51.55093,images\test\fhrs_5_en-GB.png
Abigails Cafe,Restaurant/Cafe/Canteen,RM6 4BE,4,fhrs_4_en-GB,2024-06-22,Barking and Dagenham,0.1306,51.570095,images\test\fhrs_4_en-GB.png
Abike Oloogun Ebi Kitchen,Restaurant/Cafe/Canteen,RM8 1QH,5,fhrs_5_en-GB,2022-07-22,Barking and Dagenham,0.1425003,51.567947,images\test\fhrs_5_en-GB.png
Adetoks Kitchen Ltd,Takeaway/sandwich shop,RM10 8UB,5,fhrs_5_en-GB,2023-11-25,Barking and Dagenham,0.1701691,51.5428773,images\test\fhrs_5_en-GB.png
Ali Baba,Takeaway/sandwich shop,RM8 3NH,5,fhrs_5_en-GB,2024-02-23,Barking and Dagenham,0.142421,51.554493,images\test\fhrs_5_en-GB.png
Ali's Kitchen,Takeaway/sandwich shop,RM10 7XJ,4,fhrs_4_en-GB,2024-01-31,Barking and Dagenham,0.1650587,51.5458135,images\test\fhrs_4_en-GB.png
Ali's Plaice,Takeaway/sandwich shop,RM10 9XB,4,fhrs_4_en-GB,2024-08-09,Barking and Dagenham,0.158103,51.539889,images\test\fhrs_4_en-GB.png
Aliza Kitchen Cafe,Restaurant/Cafe/Canteen,IG11 0JH,5,fhrs_5_en-GB,2024-08-08,Barking and Dagenham,0.0985438,51.5239554,images\test\fhrs_5_en-GB.png
ANDHRA SPICE PRIVATE LIMITED,Restaurant/Cafe/Canteen,IG11 8AA,1,fhrs_1_en-GB,2024-10-23,Barking and Dagenham,0.078572,51.537997,images\test\fhrs_1_en-GB.png
